"","species1","species2","species3","species4","species5","species6","species7","species8","species9","species10","species11","species12","species13","species14","species15","species16","species17","species18","species19","species20","species21","species22","species23","species24","species25","species26","species27","species28","species29","species30","species31","species32","species33","species34","species35","species36","species37","species38","species39","species40","species41","species42","species43","species44","species45","species46","species47","species48","species49","species50","species51","species52","species53","species54","species55","species56","species57","species58","species59","species60","species61","species62","species63","species64","species65","species66","species67","species68","species69","species70","species71","species72","species73","species74","species75","species76","species77","species78","species79","species80","species81","species82","species83","species84","species85","species86","species87","species88","species89","species90","species91","species92","species93","species94","species95","species96","species97","species98","species99","species100"
"Site46",2223,8710,6093,130,9299,2023,7471,3161,7108,9960,3624,6747,318,224,618,5246,5365,9180,1610,1157,7188,3370,5530,1394,2896,9481,7826,650,3161,2842,5215,4620,3940,7502,5157,1336,9090,7886,6635,1714,399,1927,4,5196,1083,2765,4695,6635,349,9761,632,2607,1653,934,4655,8020,2328,8652,3407,6989,2180,6566,2841,625,5948,3139,8993,638,249,9745,6178,7829,7085,1550,7102,5417,5237,1072,5877,4312,8495,7250,6990,8652,3982,6060,9041,5499,4394,9244,1453,772,6088,1931,8738,3332,5674,4468,6065,1106
"Site47",2559,2882,5463,8657,8384,9170,7299,5969,1818,1585,3762,9886,1018,5898,1052,6326,3897,9562,1650,6723,3949,9825,319,1203,7830,5012,9646,7654,7454,8140,6354,8527,1120,7810,8664,1871,5472,446,1742,2660,6822,3313,3881,3519,813,8255,8730,1679,419,1198,3783,3984,5848,9639,2552,2143,4339,7326,6489,2293,6587,8419,9547,687,1360,8773,928,3611,522,1214,7006,5132,8979,4224,7388,4103,4262,2910,4996,4632,1445,8107,5445,5005,7678,1762,5514,4374,3941,7152,8585,361,2602,5156,1974,8449,6810,4377,6256,1738
"Site48",1924,408,5838,8576,5120,6342,8972,9636,1668,2498,124,7738,1667,3514,2169,7974,5213,4019,1991,1996,7057,4059,1014,718,4945,1722,4487,9013,1942,7399,4837,6397,1311,496,4362,5543,2202,9036,8929,6658,6864,8000,2862,2479,2671,9050,3767,650,5347,4249,6654,4794,4984,5488,4522,3403,261,3231,880,1215,5385,4562,9062,1769,2792,4048,9659,6412,5561,4626,3652,3001,3327,1691,1435,6605,9070,9278,9520,5579,4673,5877,3496,6689,5598,3168,2124,9950,6581,6454,6921,1796,9474,4417,2768,1963,4379,3955,9597,1090
"Site49",2034,1007,2991,9753,6005,7767,3411,483,7882,3142,9709,3342,1502,3152,1942,5914,1141,6705,4901,4139,711,1391,9019,6411,6401,7371,3778,1156,8655,5370,9566,3972,6843,2175,9859,4404,1293,92,8236,8060,9452,8388,2297,4121,7335,8771,1033,2714,9644,8314,6160,5329,4975,5483,1088,6977,7270,7936,6472,5343,2669,4826,5984,3131,3005,1716,803,166,3971,8035,5932,778,1237,2648,7858,8432,6603,259,3144,2823,4077,7563,4876,8575,7638,7833,1439,5171,7261,6841,2316,6534,6940,8049,2515,1674,5410,9908,7482,7663
"Site50",6530,2861,5819,4247,1305,6928,2028,2932,9758,6158,7387,4040,3370,7068,2633,5676,9637,6960,8332,3268,104,8466,4651,6872,1005,288,8135,5843,6982,7549,4640,3561,7400,1885,3887,4959,4126,790,9062,1705,2508,7499,5831,7897,7921,3607,2891,132,5832,3218,7531,163,5805,830,1569,4419,7689,8289,4884,7387,6908,1772,8109,6824,1063,9819,8432,9476,3060,835,3717,1264,5177,4257,7159,3054,879,165,8829,6291,2068,5562,7102,7518,8296,9128,7346,1762,2888,123,2853,2468,9226,2133,1725,635,1705,9418,5376,2693
"Site51",124,9865,1763,5524,3404,9851,6264,4801,2338,1137,3454,4993,1408,398,6169,1606,2443,3789,1362,9982,822,5081,800,2947,7869,8901,6436,759,6970,4766,8327,3589,8873,4814,5743,765,1213,4170,7255,6633,8315,7092,7266,1385,1188,8826,279,3522,8893,9570,9822,2145,241,3285,7362,4240,2166,7142,8467,2772,9008,3922,8855,9313,6476,5149,4973,1048,3133,4592,8823,1042,7118,7384,8674,6265,6672,2099,3785,2363,3087,9340,9496,7292,7275,5949,3131,9971,9726,8225,8047,6504,722,6237,9426,1033,341,5152,3858,6085
"Site52",6127,7416,5541,6753,5049,628,8948,3622,5192,5669,5527,1679,2637,7657,747,9860,2182,541,600,5610,6181,1041,6377,4314,8249,7293,3235,5120,169,6516,9928,3290,3941,4355,6563,7122,7960,2693,9089,6337,813,5368,9514,675,3645,4251,8655,7014,5284,9427,2739,9519,8689,6220,2762,5596,3117,2168,6489,9017,9397,8458,143,1292,7243,2189,8431,4078,4711,6097,2228,9006,3421,262,1754,2031,9893,2808,1043,6073,8271,6115,9479,1003,5391,3940,2859,5589,7521,3542,6564,5366,7371,8791,7572,9299,7118,3776,2298,7516
"Site53",6821,3902,3011,6466,122,2683,2393,3771,1081,4621,8319,5486,1198,6486,9851,9220,3080,1074,4452,4194,8823,3858,6632,1393,8874,2525,364,2222,3757,2965,5011,4052,422,6463,6544,9907,2902,514,345,9838,9179,2116,5105,6113,8336,6020,4408,9906,651,7465,2563,4350,1893,3121,9736,9349,8334,9603,5583,6336,4342,9777,56,4381,5113,7075,1307,3965,9624,8884,1704,2214,8743,8547,9048,1248,9162,8613,9101,8005,433,3456,3652,6313,1807,8458,1133,1711,8895,2182,5741,8675,489,5388,128,1946,7936,7882,8516,5102
"Site54",3522,1095,563,2926,5188,1662,6011,1208,4508,9556,2477,7142,1363,7787,8662,3584,2971,5070,5107,5066,7805,7572,995,5765,4251,9126,9023,1429,6433,3086,3763,9899,155,8463,4135,3141,1746,4894,7069,6762,5398,4203,2705,1427,7951,788,2105,3027,9527,2128,4209,2031,349,112,6481,177,5917,5154,4867,2426,2976,243,8191,6510,8346,2388,1391,1237,9279,2517,7109,7454,1973,9926,7419,5912,1382,4262,9592,9329,6448,233,3408,2704,5917,1089,7610,5710,9401,1714,9047,6467,4185,841,4526,9417,8361,1724,7423,4814
"Site55",3511,9929,9275,6499,1601,275,3171,7706,7042,9809,7673,984,2099,3547,8870,479,1482,8377,8625,6001,622,8296,6337,5773,5020,8679,1390,5697,4367,7934,44,4362,7350,1177,2067,6611,7764,5944,9902,3219,7264,3814,7321,4007,7631,2231,9557,1392,667,3007,517,8111,6338,7960,3691,2131,9623,8391,4714,9714,7391,363,8848,8467,8103,7310,2382,4072,549,3662,9210,2997,2858,8317,5442,9615,5432,6959,3225,2209,4344,5351,9692,8052,3078,2772,5349,6063,9070,8829,8993,6932,4966,4458,7819,4693,9771,1175,5771,6588
"Site56",8348,130,3709,57,2068,3586,3480,3266,5963,9390,7675,680,2976,5661,3866,5437,396,3556,5756,7691,4901,3396,3741,9210,3794,7971,2042,2692,696,9124,9679,7784,70,2692,3146,8014,1728,8411,15,7879,9694,3647,6645,6298,2981,3575,7345,9361,7634,6331,857,8976,2783,9451,6986,4253,4781,9066,5672,5774,2007,9158,7992,5665,7002,890,8288,8943,148,6483,7363,6642,3923,1324,1042,1395,9171,927,4411,9622,2845,4933,9160,3339,1827,5233,1656,6827,4723,7321,3923,7295,8378,9291,2254,8574,5744,7774,2482,9279
"Site57",9861,9158,9987,4173,7822,7865,2219,1060,6944,4276,3007,7951,8239,8531,9505,6874,6125,4881,5172,2326,2793,5026,8301,2729,3889,9001,9944,2502,5955,5305,4113,6294,7339,9353,8772,6714,2080,9241,904,4875,8333,1754,7724,1363,4351,718,8039,6671,5118,5721,7142,7661,1493,7308,7113,2478,4646,2113,1249,5390,7351,3879,5353,884,860,1229,6052,7221,9997,9353,9272,6164,1143,1148,1772,3847,1069,740,2527,6935,556,6446,861,9468,5120,9909,6754,1961,9768,5109,9796,9253,5713,8422,2571,6649,7633,7371,1064,1806
"Site58",3299,6740,3877,5781,1258,3477,4818,8912,125,7353,5254,6357,5098,5338,2736,5328,7461,5301,9611,1822,7125,713,6159,8928,9945,4087,5090,846,9362,999,502,9730,8668,1832,8306,8784,236,5087,994,8778,9791,1043,2921,468,4677,7017,2123,689,3744,819,4035,8460,2895,2002,3387,4317,603,7566,5972,2680,1142,9738,9140,9477,1779,6680,8100,4507,8059,7530,5370,8122,4610,3053,4042,7477,7751,9260,6572,4306,2666,5240,6167,1814,9934,9167,1420,5095,3566,1616,3197,6207,1793,3025,6310,1971,9531,9664,1091,1865
"Site59",5722,3308,5690,3531,521,9348,590,1260,9476,526,6222,5179,2977,3748,4932,6692,440,7176,2964,2028,9436,9868,3106,5676,7297,5082,9481,4518,730,9860,8440,6938,1319,9170,2458,5942,2052,669,6693,505,6897,2884,506,393,4215,7051,9213,5769,6126,9098,2424,1072,4364,475,7676,2512,8848,7856,2062,8283,6606,4665,6230,630,1847,502,5834,6679,5428,7002,8475,4861,8917,1660,357,9618,2067,3824,2525,9648,4615,3200,8948,8999,5133,7531,4369,5914,9311,3879,3210,9304,9347,6285,8557,7879,2562,43,2917,8466
"Site60",136,6501,6967,3445,1425,336,8932,1661,8616,1883,7734,5276,4633,4319,9286,9102,2588,1054,3095,3947,6510,6327,77,4409,7716,5329,1517,1327,7091,8401,6161,7421,591,5305,6727,6203,8557,9471,3347,3259,7523,7670,4451,688,3131,5641,4929,1748,1441,7996,863,6604,7641,6546,2214,48,7388,2950,5997,3680,6048,7037,7721,9171,7966,8030,8593,1868,7965,3800,7399,6020,705,8194,930,7435,6603,5449,8734,2417,2024,7873,8910,8950,3336,702,6081,5290,2282,8117,4150,4380,6003,7223,9777,9826,2739,3368,7491,8493
"Site61",3645,3087,5428,3089,4939,2519,2325,2868,5247,1161,4777,2520,3134,3388,6526,2358,7931,1395,4320,2090,7755,4623,7395,8932,5344,7910,2408,1238,7057,5390,1338,2991,9848,6101,1867,6002,5659,8219,509,1560,6021,7337,2178,75,6676,6754,4166,1713,664,7788,5164,215,2482,9096,5341,9107,9009,522,2256,7330,4777,6384,8634,3111,661,4843,2238,5930,9017,5229,8594,3727,4516,8060,7662,1942,819,7018,1496,7949,1267,6022,5407,7742,6723,512,1250,7843,7822,6998,8525,5310,9627,8237,890,992,7747,5595,8991,4075
"Site62",8051,3069,6903,2750,1558,7025,8368,3212,4138,3119,3198,1797,9451,3982,5837,4439,1796,8769,5253,8031,7765,7852,1019,7669,9272,5878,760,4933,9089,8054,25,1960,8332,9204,4213,7453,1201,322,9773,6316,8985,1714,9061,4993,2292,158,6520,5621,541,2228,8494,5092,4764,9299,9602,5921,1786,2821,977,6135,8539,1343,3953,4408,9284,8700,610,3681,9581,416,6327,4908,6751,9876,8458,2619,8100,1358,6809,7757,2863,4328,9167,3627,814,7907,7947,7005,2543,196,2840,1441,2787,22,6904,7950,3793,9132,456,5457
"Site63",851,4573,9246,1590,9088,7096,8861,4587,6917,7449,6963,8805,1787,5320,3918,5930,6468,9116,8868,9227,7770,4178,8294,5025,3035,9387,8019,9366,6539,7854,7289,4202,8790,172,4135,6184,9965,3879,3893,9860,2091,3122,362,1005,8441,83,342,6052,2060,3415,5864,861,141,8654,8429,8489,3551,1516,4914,5063,4577,3025,7175,911,7680,6993,2488,1971,7020,7423,1224,5372,8579,6975,6330,4964,8662,3797,1232,9026,3157,4577,3265,4114,9740,5495,2213,7789,569,5863,4765,523,3963,2482,8552,5584,1180,6189,1718,546
"Site64",4110,2034,3267,5406,3239,8597,3891,8125,4962,5944,2851,6329,5308,5458,7790,7847,7579,4369,7105,3470,8372,842,3032,7374,8724,2165,7668,5365,8450,1924,5753,7940,5067,8121,4640,5688,8096,6313,4653,3699,5971,490,50,345,4986,4585,1316,8012,4422,4115,6402,6813,4059,1886,3580,374,8637,4824,1628,9047,9600,7516,5567,5028,5182,1584,6354,6425,9787,5893,5336,9223,6392,89,6024,8059,464,6391,6413,7155,6755,6981,4430,1732,2837,3676,808,4613,8832,7171,9662,4209,2587,5521,6419,9349,9583,4997,6678,4498
"Site65",3032,3738,8169,2084,7589,7177,3068,6076,2458,7733,1129,9667,322,2178,8130,4312,2174,1570,6898,8846,4389,4294,5321,4384,3722,3292,2492,531,6704,210,7824,6153,7112,5949,7248,26,2881,4900,7382,1689,655,6446,1093,2249,7276,8410,7278,4724,4894,4179,6598,8017,2865,3406,7499,6955,3924,1304,898,6816,3887,7928,3258,7229,4454,9203,2420,4049,733,2281,9940,4780,5027,601,6703,3734,3610,9802,8733,3938,775,3446,5587,6202,4639,7031,3073,8600,4530,6619,4111,6191,3226,975,1746,4067,6187,4782,5275,7458
"Site66",9855,5786,6389,8140,6099,7573,6877,3053,2243,1936,724,2665,8843,9968,4510,2322,3860,2543,2109,7946,9862,5744,17,8498,8238,2407,855,2175,7674,3260,6252,5325,8036,3679,2700,999,7994,2177,6677,684,4377,2947,3967,398,9604,4975,5439,791,8107,445,6726,3736,8527,6614,6499,1900,1263,9363,23,704,4133,8388,6495,1062,8179,3829,9639,2340,7558,3444,7371,3155,2104,1897,1915,9791,148,7842,5651,8939,5172,9241,6817,593,9380,9457,5268,2593,3465,5006,2470,8241,2203,6211,4951,7824,9191,6250,9530,165
"Site67",7791,665,1842,2657,2610,6538,836,654,9128,6349,8039,5782,3020,6946,7710,2660,3053,6605,3358,210,1260,8504,9545,4335,7057,876,8366,3069,9141,3923,2603,2563,9980,7350,8124,3546,9717,5476,1788,6375,5660,9034,2529,1361,5228,1473,4198,7239,1410,623,3252,3812,8486,4952,355,1913,219,8956,454,2311,4116,2679,9461,8596,3856,9694,4995,3513,9073,7064,8662,1246,4591,388,2325,9512,5340,1211,5283,3943,2805,3323,5060,132,529,495,6808,4499,4927,4635,3455,223,7971,5882,6218,6100,6663,8195,8406,91
"Site68",3299,5117,5872,3561,6924,1545,6034,4913,556,6607,4007,4470,1588,6062,1509,8600,5429,9210,1197,5975,207,188,2684,2969,9242,145,2142,718,8930,7170,2343,1796,8643,6101,4803,7571,9099,5129,7659,3719,4211,4962,2355,7665,2627,4030,7783,9177,6688,6820,5044,6083,7232,4183,3824,3586,1613,7332,4980,2420,9126,1504,256,3994,3528,1821,8295,2345,2735,2235,6961,4111,1550,3547,2655,629,3303,9369,7564,5311,724,3232,3700,468,2862,898,1192,9368,2278,8231,8716,8333,2434,90,8779,2854,4653,9030,1347,5976
"Site69",171,5536,3153,1792,2406,8634,6232,1498,1387,6024,7125,3392,2461,751,4114,7591,7137,4230,9316,1010,434,4515,6029,507,4940,1176,2118,2972,4527,2528,7086,9516,7830,2177,3688,9938,3370,383,9740,8850,94,5434,7108,3988,3650,975,4939,8216,1963,6420,5648,8422,1549,953,3057,9869,2038,6184,6498,6274,3028,4892,7627,6485,3786,7262,6221,7471,6959,3361,2906,716,2801,6412,2323,5452,6876,5525,8431,2855,1983,6265,4549,8203,2152,2599,7812,6812,8950,837,2976,5558,8812,9653,617,5736,606,6385,4623,3547
"Site70",6434,8794,6867,6632,8200,2292,9830,7685,6565,9295,819,8778,3778,4450,5610,2892,2386,6812,5448,9697,9914,9521,2977,1256,2988,9752,3458,4075,1175,6634,9223,7466,3670,4591,9240,1943,2561,6926,68,7374,9049,6748,9250,6183,5600,5830,2550,9598,8968,1066,2074,8411,1909,6190,5541,1929,8140,3649,9630,5198,5609,4234,7183,7699,5332,4744,1082,184,5982,2408,9172,378,6770,3960,4900,7098,5365,3665,54,9031,7280,2069,5414,3310,6607,7369,3565,3222,3524,7348,8951,9732,9751,5059,3178,1441,4733,7617,4637,8343
"Site71",5776,9035,701,8494,5023,6380,2502,4530,7241,3759,1297,2144,9924,4230,8166,4437,9738,457,2555,9559,2160,3565,2238,566,3294,4147,9740,4689,4166,2084,9410,1739,4134,9689,5646,1,5189,1899,5034,4164,2710,8579,2207,1861,3985,1370,1163,4246,5781,4380,6398,324,7046,8046,9081,2334,2958,8845,5446,2445,7298,5025,862,6391,379,3920,4325,6728,2003,498,2617,120,5095,7667,1300,3694,586,6561,1834,426,5888,2412,815,7712,6300,406,3648,83,9263,8797,7844,6075,107,4784,4419,2205,4165,7378,6744,811
"Site72",4201,5359,4857,5548,4175,1256,4606,3704,9987,9951,6052,1736,7850,6925,1576,9382,2440,6185,3743,6221,2405,4184,1505,2815,8089,1031,7344,9793,6530,442,3304,6043,1902,473,5361,3130,3908,1996,1453,8016,4527,816,1312,4,7008,1708,3996,9785,794,10,2790,6455,6722,2946,2920,2991,1900,1585,1552,297,4391,4483,1599,5440,3467,8238,256,4057,5814,1883,9745,8638,4630,2907,5948,9611,1958,8931,8980,806,9658,7788,8154,7974,4182,3527,263,4555,2795,1948,2520,7462,2546,1326,3794,4103,7036,4062,7899,1157
"Site73",6908,9060,1216,6444,2019,4077,1796,8758,5812,929,8920,8131,5106,832,3744,1569,4784,1639,9639,4864,7853,9241,193,8402,2756,4640,1283,4346,2846,4126,7406,8935,7996,8802,4289,3050,3729,8532,9225,9512,1220,2595,8654,4749,9322,1894,9112,4084,429,4452,4795,4028,8264,5999,4274,4466,8171,4296,7008,1958,4809,5128,1584,4465,6220,4893,9624,1913,9117,6948,6853,3527,1325,6582,732,1927,6357,7661,2069,1946,6638,8285,4886,7370,6076,5777,4088,6332,1175,6123,8784,1553,1374,5573,5639,6604,5845,1951,7597,4178
"Site74",1520,7123,5314,344,4545,6275,5149,9805,3894,7228,6815,5873,4046,2888,7690,1723,9069,6247,8968,858,8267,4803,5081,8028,2919,5203,2240,660,4947,9304,9540,3834,9233,7032,6338,295,4064,7450,3278,7047,229,9579,4721,4998,4315,9340,4784,3144,8111,5589,8237,7150,9319,470,7222,865,6460,8111,4372,1528,8090,7673,975,5007,9870,981,4263,3697,292,7328,6780,4806,1064,3615,3983,614,585,3809,9628,5311,8278,124,9386,1275,5801,866,4051,7542,4357,1933,1628,6842,8752,242,4315,3864,3521,967,8057,4684
"Site75",8229,3383,2427,7814,4778,5101,6060,3529,1386,5892,5266,1103,8696,8914,3628,2096,6778,8433,3923,8464,802,3812,8043,9332,6630,5135,2080,4237,5538,976,3502,5350,1754,3682,1355,9727,2264,1695,3422,5775,6556,453,2324,6555,5444,104,6827,1444,4451,5961,9438,7931,8902,3380,4719,5630,3675,780,3180,6306,1358,5771,5006,2069,1120,7923,9345,2307,2170,9772,8436,1472,2915,8954,4169,6677,949,2610,1514,452,7789,7516,3156,1907,9050,1925,7147,7332,4858,4378,1887,1584,5361,9227,5172,742,4488,1106,5278,1133
"Site76",5381,7805,8235,1337,8422,8005,1968,6285,739,5561,5522,4577,7925,5892,8731,3221,1666,2433,5260,872,2897,6488,3350,3888,7317,2138,1797,7321,4415,5334,1605,7961,6547,7516,6008,3856,3729,6254,1827,2438,3818,285,9021,1912,950,1072,9239,374,6595,2192,696,6583,652,6582,7034,7505,2237,5140,5600,2773,9764,3200,1528,503,1342,6605,2828,3753,9116,775,6359,5950,11,1046,7385,7056,8268,2762,5222,496,2976,4814,1227,162,5976,5662,270,7566,2339,3241,3423,8398,2036,2297,5059,7186,5873,7745,8729,2117
"Site77",8307,8800,3544,5542,5094,3285,3113,8181,3739,6496,1718,5093,6947,7765,7402,909,8466,5746,2770,183,7797,5473,6887,5925,9901,8505,4591,3955,6697,4285,1434,2386,9615,4856,5489,1913,1392,6155,6183,6663,2672,9896,5091,8150,6681,1074,8350,6340,3565,7733,3044,6873,3145,6573,1098,3932,5033,3822,1049,4304,8250,3918,6464,9307,2832,2339,9120,5256,2248,5712,5595,9167,1226,9251,8007,7378,1783,8288,212,3549,3601,4876,2547,8692,9356,586,9825,448,6931,4695,1258,4095,5813,8870,6946,5782,1335,8257,1749,7437
"Site78",9260,413,6498,1101,7724,4054,5889,4575,6301,4393,9717,9257,3287,6731,5516,1100,9171,5414,7697,8134,2076,4998,6093,6421,315,3871,3936,9273,1157,413,9412,7969,8368,9499,1590,5118,1079,3079,7076,1979,5723,9786,4622,9916,6145,491,2925,2131,7805,1202,9014,7948,2446,45,5693,3430,5469,4266,6676,7409,659,9867,9799,2879,9314,3638,1560,6601,1086,8694,5362,5972,1962,3479,1969,4683,8954,8537,2350,8709,9675,4848,1708,5065,7078,9412,3558,9846,4726,5112,5179,6099,7832,9824,3274,7813,1002,2489,1335,2117
"Site79",3056,7401,9918,34,4319,3236,1305,3855,1410,9750,8376,173,2099,2291,6772,7473,7979,4668,5170,9254,3254,8188,3238,6644,9907,2776,4023,8142,3475,1685,5220,4140,1683,4378,6753,2822,4552,8492,8921,8805,3261,1120,7139,6999,3880,4819,6318,7496,1362,4459,1496,9249,7721,674,2815,9819,6509,152,1880,9971,8507,1880,5240,6400,902,2700,7502,4745,6994,4529,5117,1467,7166,7920,4741,891,8731,5837,2741,3587,2125,3559,7483,5153,1169,6005,2927,1333,7855,9060,4344,7392,6631,7986,5300,849,3899,8885,7890,4175
"Site80",50,2752,1520,4721,5169,1164,345,4541,5762,2695,7220,5625,9507,9328,7829,866,1574,4509,9640,6681,314,5153,6883,5399,5023,5256,5833,3653,9991,9036,4499,2326,4079,5609,4170,2945,4636,1440,6413,1182,805,1942,8755,1596,13,2804,4630,2879,1616,4450,2895,2656,8585,9574,6364,1590,6252,9018,3205,7951,2,2753,6298,8807,7779,2960,2817,9432,6370,2634,6117,4322,4709,2037,7493,9184,4086,5464,8091,7406,8184,5775,4198,1471,3973,9360,4693,7884,8105,2679,797,1005,8915,1018,1645,6029,2572,1531,6440,2650
"Site81",1503,891,8141,8218,5143,3772,1373,3511,8213,275,3406,2423,7532,3471,4826,9465,2197,9947,2480,2181,4330,4926,1889,7264,5410,1057,4049,1215,4507,7815,6845,1477,1144,5996,9820,2365,2012,6020,9674,3496,7068,7768,4525,5372,6107,3618,9142,6046,7089,5310,5734,8605,3440,6116,9998,5797,9536,1434,413,2285,4205,4240,2871,4163,9116,5008,9922,610,2480,6556,6714,2411,3005,7277,6310,6758,7143,1043,1905,4595,2091,8493,3196,3456,7781,8642,3376,7700,7411,5425,5793,1695,7014,7157,6171,4109,3834,8175,4718,3518
"Site82",8631,2402,1106,8589,2283,8614,9614,1288,9966,8801,2592,8456,9029,3014,4304,5878,2402,9094,4363,4381,2275,6449,1493,4756,6899,682,3399,2701,2842,3366,1236,865,2304,9394,159,3313,4160,8996,3783,1180,7082,1228,812,5837,1348,8783,8879,1267,7804,5937,1575,6901,6095,754,6603,4182,4160,7632,5876,1606,9675,765,2758,70,1331,2832,1870,7792,8207,3692,1677,4104,8480,2525,1745,3682,4138,765,2733,5383,2194,5528,2049,7159,1700,5576,4028,7798,8288,8442,2255,4969,4149,2157,259,1064,9683,508,8122,5048
"Site83",8726,6414,6836,5752,7340,9927,618,8120,7723,3510,7462,3979,7178,5000,5242,5768,1273,2141,2202,1741,3651,3518,9359,8569,5956,3594,8043,2016,8954,7392,5533,655,6082,8341,2848,9732,2011,3399,8794,6871,9171,497,115,6099,229,7374,7100,2125,4693,5671,2931,2585,5661,7391,4658,7108,9344,9564,9778,5661,5873,935,5011,282,4123,7605,2157,3862,1317,4069,4897,3171,4318,6500,2736,4450,1247,6758,5615,8502,5733,1678,8431,6104,7540,5964,5952,9098,3664,3047,8222,6046,1543,782,254,165,8901,5814,2142,5236
"Site84",7742,1735,3884,6096,1155,7148,4284,333,2299,3783,8196,8377,1492,7184,3129,5801,9933,4138,494,9738,4842,7775,7988,7565,5549,2085,2927,6609,385,9756,3199,9804,4766,3277,338,8870,3155,894,823,6361,7827,7601,1070,3557,1009,9506,7946,544,9125,7035,6874,3234,5520,4408,5806,4247,647,8177,1213,195,8421,3441,9481,1185,9983,9553,6518,3064,5405,4680,2675,5956,3145,8859,4556,5485,8058,7666,8354,8699,8785,8830,8318,7253,2882,6285,8936,5988,2422,3156,5043,5661,9545,967,8301,4494,8975,9993,1616,8022
"Site85",5941,7336,1916,3203,539,4288,4282,5333,993,2080,7400,6248,4943,2319,6261,6032,3899,6059,9281,4326,291,1070,6965,4763,2455,5109,5173,7564,3189,2940,8837,2873,1779,6761,5519,5243,945,2188,6711,32,8098,9774,9526,1364,6227,8322,3508,9183,1841,4377,2596,8391,4497,6154,4345,6450,9464,7596,8391,2157,8451,6492,366,4843,2872,9379,9105,5330,170,1195,3810,3254,9197,8503,997,5919,9803,1971,9885,7748,7496,5942,4426,8293,3296,407,8676,9088,3425,2384,9053,5720,4601,4735,3504,3735,183,2906,1721,5367
"Site86",4368,9526,7624,297,8980,7724,805,5611,5978,5436,6198,5033,1625,8561,960,4972,7966,2837,9016,3848,8676,2356,8230,2028,4752,8477,7132,7287,5119,9427,5780,663,1679,7714,739,8285,1839,3611,446,872,3259,7201,4905,9563,868,7115,167,4499,6705,9649,2821,441,8040,9499,738,8157,6630,7116,318,7906,6357,8123,773,1450,2719,5640,5852,3806,9710,3778,7289,8217,9709,5962,7827,7360,5214,360,6391,570,7158,4847,6626,5682,1436,2564,7281,4505,6258,2599,6687,7680,733,6195,3969,7081,7418,2431,5342,1540
"Site87",2552,4712,8661,4250,9448,6161,5002,8844,4501,9147,9178,1511,3308,2926,1750,6950,5144,8834,6561,161,2410,5579,3502,8706,6490,8091,5661,1733,1092,8654,4404,6787,6641,3825,5017,1456,3763,291,4425,5667,5530,921,8646,2267,6414,8427,1793,7955,5168,7261,3776,6783,8931,6416,2733,7546,6759,2584,8124,1611,9686,7111,1176,1271,7774,4669,9924,4802,6753,2063,4565,4243,2389,1225,6524,9268,5814,6799,6448,3704,4957,1098,3802,1593,7438,1383,3954,2030,2438,8311,3651,5010,7268,5273,4180,4930,4702,5477,6838,3555
"Site88",7918,349,7687,3547,9142,9545,6241,8867,541,4717,5610,309,4656,9135,8381,7880,4527,2849,2252,3389,6751,5581,807,1721,7187,3788,1816,5997,7013,4914,9233,5196,3407,1212,2485,4002,3127,7343,3737,3313,2322,2831,7930,1936,8241,4505,6895,1142,1346,9699,2474,4835,669,1053,4530,9532,232,8037,396,7093,2469,834,1666,5037,3183,7576,4282,3829,670,964,9396,2523,8238,6827,4298,9431,6100,6434,5773,852,4810,4151,6159,5335,7681,7229,8354,1232,1749,31,4386,5155,3989,3140,4531,18,2431,6951,3913,889
"Site89",5719,5050,4167,4778,3956,9802,4086,3308,5961,5381,4789,4942,7298,7353,7205,9420,3760,4719,3868,4275,2774,9344,868,5374,9400,1461,2744,2979,8389,1160,9783,2399,8553,5673,5494,2670,1628,3969,4055,1567,1889,6642,4307,4605,5248,7414,4175,4770,2844,3553,1300,5886,4100,6162,993,8791,4083,2354,9515,7480,7597,3422,1598,4636,7589,1073,9766,6925,4313,8384,2344,2277,2862,7613,4520,3844,9743,7561,9924,3808,2755,3555,6579,4597,8395,236,5762,4353,7587,2975,3719,8653,9444,7788,7460,5171,6502,9680,5090,3567
"Site90",3859,3843,9432,2418,9609,576,6755,3663,266,5173,3457,1427,5773,3997,9723,6434,9182,6456,3676,8768,2888,3540,2211,3610,6189,5353,7386,547,9394,3414,5953,9668,4735,7319,2385,8329,5343,126,7983,7248,3582,4720,3371,8845,8050,2198,838,3501,8477,6442,5337,9779,9206,1712,908,7022,1321,9527,4455,2776,657,7121,8020,9493,2243,5209,7766,8016,3812,1020,3221,403,485,8883,5257,6863,4744,5174,4892,2543,5354,3208,1303,7772,6525,9193,395,3589,8409,496,1087,903,3596,5336,7162,7288,1442,8760,9155,6014
"Site91",9429,5237,5930,7485,6595,6866,793,1363,3522,8766,9867,7696,3191,576,6184,4357,2585,5436,9745,6935,9883,6710,4226,1538,1070,8867,9702,3938,7632,7721,2802,9206,5380,4800,9743,656,9342,9009,2026,4758,2113,7508,6683,1053,1326,3781,7981,2334,8503,3170,9178,2394,2421,9534,4932,9908,8397,520,6132,2271,989,6262,7949,4477,8415,2968,3494,8725,1522,2389,5545,9851,4973,8808,5643,6552,6551,3999,2368,3349,1962,5859,9390,7337,7140,4996,8300,8986,7829,1410,2983,5460,8610,9403,9996,2991,4569,6457,5254,9921
